start date,start time,end date,end time,class Id,Estudi,Codi_Ass,Id Anònim PD
10/09/2024,12:30,10/09/2024,14:30,Q4/1013,10062 Enginyeria Informàtica,102762,
10/09/2024,12:30,10/09/2024,14:30,Q1/0007,10062 Enginyeria Informàtica,102767,
10/09/2024,12:30,10/09/2024,14:30,Q2/0013,10062 Enginyeria Informàtica,103806,
10/09/2024,15:00,10/09/2024,17:00,Q2/1013,10062 Enginyeria Informàtica,102771,
10/09/2024,15:00,10/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102767,
10/09/2024,15:00,10/09/2024,17:00,Q1/0007,10062 Enginyeria Informàtica,102767,
10/09/2024,17:00,10/09/2024,18:00,Q3/0003,10062 Enginyeria Informàtica,103803,
10/09/2024,18:00,10/09/2024,19:00,Q3/0003,10062 Enginyeria Informàtica,102774,
11/09/2024,08:30,11/09/2024,09:30,Q4/1003,10062 Enginyeria Informàtica,102791,
11/09/2024,08:30,11/09/2024,10:30,Q5/1011,10062 Enginyeria Informàtica,102783,
11/09/2024,08:30,11/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102759,
11/09/2024,08:30,11/09/2024,10:30,Q3/0003,10062 Enginyeria Informàtica,102747,
11/09/2024,08:30,11/09/2024,10:30,Q2/1013,10062 Enginyeria Informàtica,102741,
11/09/2024,08:30,11/09/2024,10:30,QC/0011,10062 Enginyeria Informàtica,105073,
11/09/2024,08:30,11/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,103801,
11/09/2024,08:30,11/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102744,
11/09/2024,08:30,11/09/2024,10:30,Q2/1005,10062 Enginyeria Informàtica,102744,
11/09/2024,09:30,11/09/2024,10:30,Q3/0013,10062 Enginyeria Informàtica,102742,
11/09/2024,10:30,11/09/2024,11:30,Q2/1003,10062 Enginyeria Informàtica,102771,
11/09/2024,10:30,11/09/2024,11:30,Q3/0003,10062 Enginyeria Informàtica,102742,
11/09/2024,10:30,11/09/2024,11:30,Q1/0007,10062 Enginyeria Informàtica,103806,
11/09/2024,10:30,11/09/2024,12:30,Q2/1009,10062 Enginyeria Informàtica,102747,
11/09/2024,10:30,11/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,103801,
11/09/2024,10:30,11/09/2024,12:30,QC/0011,10062 Enginyeria Informàtica,105072,
11/09/2024,10:30,11/09/2024,12:30,Q3/0013,10062 Enginyeria Informàtica,102778,
11/09/2024,10:30,11/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,102744,
11/09/2024,10:30,11/09/2024,12:30,Q5/1011,10062 Enginyeria Informàtica,102783,
11/09/2024,11:30,11/09/2024,12:30,Q4/1005,10062 Enginyeria Informàtica,102742,
11/09/2024,11:30,11/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,102771,
11/09/2024,11:30,11/09/2024,12:30,Q1/0007,10062 Enginyeria Informàtica,103806,
11/09/2024,12:30,11/09/2024,13:30,Q3/0013,10062 Enginyeria Informàtica,102742,
11/09/2024,12:30,11/09/2024,13:30,Q1/0007,10062 Enginyeria Informàtica,103806,
11/09/2024,12:30,11/09/2024,13:30,Q2/1003,10062 Enginyeria Informàtica,102771,
11/09/2024,12:30,11/09/2024,13:30,Q2/1009,10062 Enginyeria Informàtica,102740,
11/09/2024,12:30,11/09/2024,14:30,Q1/0019,10062 Enginyeria Informàtica,102744,
11/09/2024,12:30,11/09/2024,14:30,Q1/1003,10062 Enginyeria Informàtica,102759,
11/09/2024,13:30,11/09/2024,14:30,Q3/0013,10062 Enginyeria Informàtica,102742,
11/09/2024,13:30,11/09/2024,14:30,Q1/0007,10062 Enginyeria Informàtica,103806,
11/09/2024,13:30,11/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,102771,
11/09/2024,15:00,11/09/2024,16:00,Q1/0007,10062 Enginyeria Informàtica,103806,
11/09/2024,15:00,11/09/2024,16:00,Q2/1013,10062 Enginyeria Informàtica,102771,
11/09/2024,15:00,11/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102744,
11/09/2024,15:00,11/09/2024,17:00,Q2/1003,10062 Enginyeria Informàtica,102744,
11/09/2024,16:00,11/09/2024,17:00,Q2/1013,10062 Enginyeria Informàtica,102771,
11/09/2024,16:00,11/09/2024,17:00,Q1/0007,10062 Enginyeria Informàtica,103806,
11/09/2024,16:00,11/09/2024,17:00,Q3/0013,10062 Enginyeria Informàtica,103806,
11/09/2024,16:00,11/09/2024,17:00,Q3/0009,10062 Enginyeria Informàtica,102742,
11/09/2024,17:00,11/09/2024,18:00,Q3/0009,10062 Enginyeria Informàtica,102742,
11/09/2024,17:00,11/09/2024,19:00,Q3/0003,10062 Enginyeria Informàtica,102747,
11/09/2024,17:00,11/09/2024,19:00,Q2/1013,10062 Enginyeria Informàtica,103801,
11/09/2024,18:00,11/09/2024,19:00,Q3/0009,10062 Enginyeria Informàtica,102742,
12/09/2024,08:30,12/09/2024,09:30,Q3/0009,10062 Enginyeria Informàtica,102759,
12/09/2024,08:30,12/09/2024,09:30,Q4/1003,10062 Enginyeria Informàtica,102763,
12/09/2024,08:30,12/09/2024,10:30,Q4/0007,10062 Enginyeria Informàtica,102760,
12/09/2024,08:30,12/09/2024,10:30,Q2/1003,10062 Enginyeria Informàtica,103805,
12/09/2024,08:30,12/09/2024,10:30,Q1/0007,10062 Enginyeria Informàtica,102767,
12/09/2024,08:30,12/09/2024,10:30,Q3/0007,10062 Enginyeria Informàtica,102760,
12/09/2024,08:30,12/09/2024,10:30,Q2/1005,10062 Enginyeria Informàtica,103805,
12/09/2024,08:30,12/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102791,
12/09/2024,08:30,12/09/2024,10:30,Q2/1013,10062 Enginyeria Informàtica,102753,
12/09/2024,08:30,12/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102767,
12/09/2024,08:30,12/09/2024,10:30,Q2/1009,10062 Enginyeria Informàtica,102774,
12/09/2024,09:30,12/09/2024,10:30,Q4/1003,10062 Enginyeria Informàtica,102759,
12/09/2024,09:30,12/09/2024,10:30,Q3/0009,10062 Enginyeria Informàtica,102763,
12/09/2024,10:30,12/09/2024,12:30,Q4/0007,10062 Enginyeria Informàtica,102760,
12/09/2024,10:30,12/09/2024,12:30,Q4/1009,10062 Enginyeria Informàtica,102767,
12/09/2024,10:30,12/09/2024,12:30,Q3/0007,10062 Enginyeria Informàtica,102760,
12/09/2024,10:30,12/09/2024,12:30,Q4/1003,10062 Enginyeria Informàtica,102776,
12/09/2024,10:30,12/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,103805,
12/09/2024,10:30,12/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,102774,
12/09/2024,10:30,12/09/2024,12:30,Q3/0003,10062 Enginyeria Informàtica,102758,
12/09/2024,10:30,12/09/2024,12:30,Q1/0007,10062 Enginyeria Informàtica,102767,
12/09/2024,10:30,12/09/2024,12:30,Q1/1007,10062 Enginyeria Informàtica,102786,
12/09/2024,10:30,12/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,103805,
12/09/2024,12:30,12/09/2024,13:30,Q1/1007,10062 Enginyeria Informàtica,102773,
12/09/2024,12:30,12/09/2024,13:30,Q3/0013,10062 Enginyeria Informàtica,102759,
12/09/2024,12:30,12/09/2024,14:30,Q5/1011,10062 Enginyeria Informàtica,102753,
12/09/2024,12:30,12/09/2024,14:30,Q4/1013,10062 Enginyeria Informàtica,102762,
12/09/2024,12:30,12/09/2024,14:30,Q1/0007,10062 Enginyeria Informàtica,102767,
12/09/2024,12:30,12/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,102767,
12/09/2024,13:30,12/09/2024,14:30,Q1/1007,10062 Enginyeria Informàtica,102759,
12/09/2024,13:30,12/09/2024,14:30,Q3/0013,10062 Enginyeria Informàtica,102773,
12/09/2024,15:00,12/09/2024,17:00,Q3/0003,10062 Enginyeria Informàtica,102774,
12/09/2024,15:00,12/09/2024,17:00,Q3/0007,10062 Enginyeria Informàtica,102760,
12/09/2024,15:00,12/09/2024,17:00,Q2/1003,10062 Enginyeria Informàtica,103805,
12/09/2024,17:00,12/09/2024,19:00,Q1/0007,10062 Enginyeria Informàtica,102767,
12/09/2024,17:00,12/09/2024,19:00,Q1/0019,10062 Enginyeria Informàtica,102767,
13/09/2024,08:30,13/09/2024,09:30,Q1/1003,10062 Enginyeria Informàtica,103806,
13/09/2024,08:30,13/09/2024,10:30,Q2/1009,10062 Enginyeria Informàtica,103803,
13/09/2024,08:30,13/09/2024,10:30,Q5/1011,10062 Enginyeria Informàtica,102783,
13/09/2024,08:30,13/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102740,
13/09/2024,09:30,13/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,102771,
13/09/2024,10:30,13/09/2024,11:30,Q1/1003,10062 Enginyeria Informàtica,103806,
13/09/2024,10:30,13/09/2024,12:30,Q4/1003,10062 Enginyeria Informàtica,102741,
13/09/2024,10:30,13/09/2024,12:30,QC/0011,10062 Enginyeria Informàtica,105073,
13/09/2024,10:30,13/09/2024,12:30,Q5/1011,10062 Enginyeria Informàtica,102783,
13/09/2024,10:30,13/09/2024,12:30,Q3/0003,10062 Enginyeria Informàtica,103803,
13/09/2024,11:30,13/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,102771,
13/09/2024,11:30,13/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,102752,
13/09/2024,12:30,13/09/2024,13:30,Q2/1003,10062 Enginyeria Informàtica,102752,
13/09/2024,12:30,13/09/2024,14:30,Q1/1003,10062 Enginyeria Informàtica,102740,
13/09/2024,12:30,13/09/2024,14:30,Q4/1009,10062 Enginyeria Informàtica,102741,
13/09/2024,13:30,13/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,102752,
13/09/2024,15:00,13/09/2024,16:00,Q3/0003,10062 Enginyeria Informàtica,102771,
13/09/2024,15:00,13/09/2024,17:00,Q4/0003,10062 Enginyeria Informàtica,103803,
13/09/2024,16:00,13/09/2024,17:00,Q3/0003,10062 Enginyeria Informàtica,103806,
16/09/2024,08:30,16/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,103806,
16/09/2024,08:30,16/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102773,
16/09/2024,08:30,16/09/2024,10:30,Q5/1011,10062 Enginyeria Informàtica,102753,
16/09/2024,08:30,16/09/2024,10:30,Q4/1003,10062 Enginyeria Informàtica,105075,
16/09/2024,08:30,16/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102744,
16/09/2024,08:30,16/09/2024,10:30,Q4/0007,10062 Enginyeria Informàtica,102742,
16/09/2024,08:30,16/09/2024,10:30,Q2/1005,10062 Enginyeria Informàtica,103805,
16/09/2024,09:30,16/09/2024,10:30,Q3/0009,10062 Enginyeria Informàtica,102747,
16/09/2024,09:30,16/09/2024,10:30,Q4/1005,10062 Enginyeria Informàtica,103801,
16/09/2024,10:30,16/09/2024,11:30,Q1/1007,10062 Enginyeria Informàtica,103801,
16/09/2024,10:30,16/09/2024,11:30,Q4/1013,10062 Enginyeria Informàtica,102787,
16/09/2024,10:30,16/09/2024,11:30,Q4/1003,10062 Enginyeria Informàtica,102786,
16/09/2024,10:30,16/09/2024,11:30,Q4/1005,10062 Enginyeria Informàtica,105075,
16/09/2024,10:30,16/09/2024,11:30,Q3/0009,10062 Enginyeria Informàtica,102747,
16/09/2024,10:30,16/09/2024,12:30,Q2/1005,10062 Enginyeria Informàtica,102744,
16/09/2024,10:30,16/09/2024,12:30,Q1/1003,10062 Enginyeria Informàtica,103806,
16/09/2024,10:30,16/09/2024,12:30,Q1/0019,10062 Enginyeria Informàtica,102744,
16/09/2024,10:30,16/09/2024,12:30,Q2/1003,10062 Enginyeria Informàtica,103805,
16/09/2024,10:30,16/09/2024,12:30,Q4/0007,10062 Enginyeria Informàtica,102742,
16/09/2024,11:30,16/09/2024,12:30,Q4/1013,10062 Enginyeria Informàtica,102786,
16/09/2024,11:30,16/09/2024,12:30,Q4/1005,10062 Enginyeria Informàtica,105075,
16/09/2024,11:30,16/09/2024,12:30,Q3/0009,10062 Enginyeria Informàtica,102747,
16/09/2024,11:30,16/09/2024,12:30,Q4/1003,10062 Enginyeria Informàtica,102787,
16/09/2024,12:30,16/09/2024,13:30,Q3/0009,10062 Enginyeria Informàtica,102747,
16/09/2024,12:30,16/09/2024,13:30,Q3/0013,10062 Enginyeria Informàtica,103801,
16/09/2024,12:30,16/09/2024,13:30,Q2/1013,10062 Enginyeria Informàtica,103801,
16/09/2024,12:30,16/09/2024,14:30,Q1/0019,10062 Enginyeria Informàtica,102744,
16/09/2024,12:30,16/09/2024,14:30,Q5/1011,10062 Enginyeria Informàtica,102753,
16/09/2024,12:30,16/09/2024,14:30,QC/0011,10062 Enginyeria Informàtica,105072,
16/09/2024,12:30,16/09/2024,14:30,Q2/1005,10062 Enginyeria Informàtica,103805,
16/09/2024,12:30,16/09/2024,14:30,Q1/1003,10062 Enginyeria Informàtica,102763,
16/09/2024,12:30,16/09/2024,14:30,Q2/1003,10062 Enginyeria Informàtica,103805,
16/09/2024,15:00,16/09/2024,16:00,Q4/1013,10062 Enginyeria Informàtica,102747,
16/09/2024,15:00,16/09/2024,16:00,Q3/0009,10062 Enginyeria Informàtica,102747,
16/09/2024,15:00,16/09/2024,17:00,Q1/0019,10062 Enginyeria Informàtica,102744,
16/09/2024,15:00,16/09/2024,17:00,Q3/0003,10062 Enginyeria Informàtica,103806,
16/09/2024,15:00,16/09/2024,17:00,Q4/0007,10062 Enginyeria Informàtica,102742,
16/09/2024,16:00,16/09/2024,18:00,Q1/0007,10062 Enginyeria Informàtica,102744,
16/09/2024,17:00,16/09/2024,18:00,Q3/0009,10062 Enginyeria Informàtica,102747,
16/09/2024,17:00,16/09/2024,18:00,Q2/1003,10062 Enginyeria Informàtica,103801,
16/09/2024,17:00,16/09/2024,18:00,Q3/0003,10062 Enginyeria Informàtica,103801,
16/09/2024,17:00,16/09/2024,19:00,Q4/0007,10062 Enginyeria Informàtica,102742,
16/09/2024,18:00,16/09/2024,20:00,Q2/1003,10062 Enginyeria Informàtica,103805,
17/09/2024,08:30,17/09/2024,09:30,Q2/1003,10062 Enginyeria Informàtica,102774,
17/09/2024,08:30,17/09/2024,09:30,Q3/0009,10062 Enginyeria Informàtica,103803,
17/09/2024,08:30,17/09/2024,10:30,Q1/1003,10062 Enginyeria Informàtica,102771,
17/09/2024,08:30,17/09/2024,10:30,Q1/0007,10062 Enginyeria Informàtica,102767,
17/09/2024,08:30,17/09/2024,10:30,Q1/0019,10062 Enginyeria Informàtica,102767,
17/09/2024,08:30,17/09/2024,10:30,Q1/1007,10062 Enginyeria Informàtica,102752,
17/09/2024,08:30,17/09/2024,10:30,Q4/1003,10062 Enginyeria Informàtica,102760,
17/09/2024,09:30,17/09/2024,10:30,Q2/1003,10062 Enginyeria Informàtica,103803,
17/09/2024,09:30,17/09/2024,10:30,Q3/0009,10062 Enginyeria Informàtica,102774,
17/09/2024,10:30,17/09/2024,11:30,Q2/1003,10062 Enginyeria Informàtica,102774,
17/09/2024,10:30,17/09/2024,11:30,Q2/1005,10062 Enginyeria Informàtica,102758,
17/09/2024,10:30,17/09/2024,11:30,Q3/0013,10062 Enginyeria Informàtica,102740,
