13/09/2023,10:30,13/09/2023,11:30, ,Q3/0003,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 411,Sense grup de matricula
13/09/2023,10:30,13/09/2023,11:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 412,Sense grup de matricula
13/09/2023,10:30,13/09/2023,12:30,2,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 441,38
13/09/2023,10:30,13/09/2023,12:30,2,Q2/1005,10062 Enginyeria Informàtica,102744 Bases de Dades - 431,45
13/09/2023,10:30,13/09/2023,12:30, ,Q1/1003,10062 Enginyeria Informàtica,103801 Àlgebra - 43,76
13/09/2023,10:30,13/09/2023,12:30, ,Q3/0013,10062 Enginyeria Informàtica,102778 Arquitectures Avançades - 430,37
13/09/2023,10:30,13/09/2023,12:30,2,QC/0011,10062 Enginyeria Informàtica,105072 Tecnologia Blockchain i Criptomonedes - 450,21
13/09/2023,10:30,13/09/2023,12:30, ,Q2/1009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 41,88
13/09/2023,11:30,13/09/2023,12:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 411,Sense grup de matricula
13/09/2023,11:30,13/09/2023,12:30,1,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 412,Sense grup de matricula
13/09/2023,11:30,13/09/2023,12:30, ,Q4/1005,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 412,Sense grup de matricula
13/09/2023,12:30,13/09/2023,13:30,1,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 413,Sense grup de matricula
13/09/2023,12:30,13/09/2023,13:30, ,Q2/1009,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 431,Sense grup de matricula
13/09/2023,12:30,13/09/2023,13:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 432,Sense grup de matricula
13/09/2023,12:30,13/09/2023,13:30,1,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 431,Sense grup de matricula
13/09/2023,12:30,13/09/2023,14:30, ,Q1/1003,10062 Enginyeria Informàtica,102759 Disseny de Software - 420,82
13/09/2023,12:30,13/09/2023,14:30, ,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 432,28
13/09/2023,13:30,13/09/2023,14:30, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 432,Sense grup de matricula
13/09/2023,13:30,13/09/2023,14:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 431,Sense grup de matricula
13/09/2023,13:30,13/09/2023,14:30,1,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 414,Sense grup de matricula
13/09/2023,15:00,13/09/2023,16:00,1,Q2/1013,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 452,Sense grup de matricula
13/09/2023,15:00,13/09/2023,16:00,1,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 451,Sense grup de matricula
13/09/2023,15:00,13/09/2023,17:00, ,Q2/1009,10062 Enginyeria Informàtica,102744 Bases de Dades - 452,30
13/09/2023,15:00,13/09/2023,17:00,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 451,44
13/09/2023,16:00,13/09/2023,17:00, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 452,Sense grup de matricula
13/09/2023,16:00,13/09/2023,17:00, ,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 415,Sense grup de matricula
13/09/2023,16:00,13/09/2023,17:00,1,Q3/0009,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 471,Sense grup de matricula
13/09/2023,16:00,13/09/2023,17:00,1,Q2/1013,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 451,Sense grup de matricula
13/09/2023,17:00,13/09/2023,18:00,1,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 416,Sense grup de matricula
13/09/2023,17:00,13/09/2023,19:00, ,Q2/1009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 45,87
13/09/2023,17:00,13/09/2023,19:00, ,Q3/0003,10062 Enginyeria Informàtica,103801 Àlgebra - 45,81
13/09/2023,18:00,13/09/2023,19:00, ,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 417,Sense grup de matricula
14/09/2023,08:30,14/09/2023,09:30,1,Q4/1003,10062 Enginyeria Informàtica,102763 Requisits del Software - 421,Sense grup de matricula
14/09/2023,08:30,14/09/2023,09:30, ,Q3/0009,10062 Enginyeria Informàtica,102759 Disseny de Software - 422,Sense grup de matricula
14/09/2023,08:30,14/09/2023,10:30,2,Q4/0007,10062 Enginyeria Informàtica,102760 Gestió de Projectes - 410,87
14/09/2023,08:30,14/09/2023,10:30,2,Q1/1011,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 41,140
14/09/2023,08:30,14/09/2023,10:30,2,Q1/1007,10062 Enginyeria Informàtica,102791 Sistemes Encastats - 430,74
14/09/2023,08:30,14/09/2023,10:30,2,Q2/1005,10062 Enginyeria Informàtica,103805 Fonaments d'Enginyeria - 411,38
14/09/2023,08:30,14/09/2023,10:30, ,Q2/1013,10062 Enginyeria Informàtica,102753 Visualització Gràfica Interactiva - 440,37
