start date,start time,end date,end time,unk,class Id,Estudi,Codi_Ass + Assignatura,grup matricula
10/09/2024,08:30,10/09/2024,10:30, ,Q1/1007,10062 Enginyeria Informàtica,102752 Sistemes d'Informació - 450,108
10/09/2024,08:30,10/09/2024,10:30,2,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 41,74
10/09/2024,08:30,10/09/2024,10:30,2,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 431,38
10/09/2024,08:30,10/09/2024,10:30, ,Q1/0019,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 432,39
10/09/2024,09:30,10/09/2024,10:30,1,Q2/1003,10062 Enginyeria Informàtica,103803 Estadística - 412,Sense grup de matricula
10/09/2024,09:30,10/09/2024,10:30,1,Q3/0009,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 411,33
10/09/2024,10:30,10/09/2024,11:30,1,Q2/1003,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 432,37
10/09/2024,10:30,10/09/2024,11:30, ,Q2/1005,10062 Enginyeria Informàtica,102758 Test i Qualitat del Software - 421,Sense grup de matricula
10/09/2024,10:30,10/09/2024,11:30, ,Q3/0013,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 451,Sense grup de matricula
10/09/2024,10:30,10/09/2024,11:30,1,Q3/0009,10062 Enginyeria Informàtica,103803 Estadística - 431,Sense grup de matricula
10/09/2024,10:30,10/09/2024,12:30, ,Q4/1003,10062 Enginyeria Informàtica,102776 Gestió i Administració de Xarxes - 430,42
10/09/2024,10:30,10/09/2024,12:30,2,Q1/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 43,74
10/09/2024,10:30,10/09/2024,12:30, ,Q1/1007,10062 Enginyeria Informàtica,102787 Aprenentatge Computacional - 440,76
10/09/2024,10:30,10/09/2024,12:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 411,36
10/09/2024,10:30,10/09/2024,12:30,2,Q4/1009,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 413,16
10/09/2024,11:30,10/09/2024,12:30,1,Q2/1003,10062 Enginyeria Informàtica,103803 Estadística - 432,Sense grup de matricula
10/09/2024,11:30,10/09/2024,12:30, ,Q3/0013,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 452,Sense grup de matricula
10/09/2024,11:30,10/09/2024,12:30, ,Q2/1005,10062 Enginyeria Informàtica,102758 Test i Qualitat del Software - 422,Sense grup de matricula
10/09/2024,11:30,10/09/2024,12:30,1,Q3/0009,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 431,38
10/09/2024,12:30,10/09/2024,14:30, ,Q2/1003,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 412,36
10/09/2024,12:30,10/09/2024,14:30, ,Q4/1013,10062 Enginyeria Informàtica,102762 Anglès Professional I - 410,38
10/09/2024,12:30,10/09/2024,14:30, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 433,27
10/09/2024,12:30,10/09/2024,14:30, ,Q2/0013,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 413,Sense grup de matricula
10/09/2024,15:00,10/09/2024,17:00,2,Q2/1013,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 45,72
10/09/2024,15:00,10/09/2024,17:00,2,Q1/0019,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 451,41
10/09/2024,15:00,10/09/2024,17:00, ,Q1/0007,10062 Enginyeria Informàtica,102767 Laboratori de Programació - 452,32
10/09/2024,17:00,10/09/2024,18:00,1,Q3/0003,10062 Enginyeria Informàtica,103803 Estadística - 451,Sense grup de matricula
10/09/2024,18:00,10/09/2024,19:00,1,Q3/0003,10062 Enginyeria Informàtica,102774 Estructura de Computadors - 451,27
11/09/2024,08:30,11/09/2024,09:30,1,Q4/1003,10062 Enginyeria Informàtica,102791 Sistemes Encastats - 431,Sense grup de matricula
11/09/2024,08:30,11/09/2024,10:30, ,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 440,44
11/09/2024,08:30,11/09/2024,10:30,2,Q1/1007,10062 Enginyeria Informàtica,102759 Disseny de Software - 450,84
11/09/2024,08:30,11/09/2024,10:30,2,Q3/0003,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 41,75
11/09/2024,08:30,11/09/2024,10:30, ,Q2/1013,10062 Enginyeria Informàtica,102741 Gestió i Administració de Bases de Dades - 420,81
11/09/2024,08:30,11/09/2024,10:30,2,QC/0011,10062 Enginyeria Informàtica,105073 Tecnologies de Compressió de la Informació - 450,18
11/09/2024,08:30,11/09/2024,10:30,2,Q1/1003,10062 Enginyeria Informàtica,103801 Àlgebra - 41,75
11/09/2024,08:30,11/09/2024,10:30, ,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 432,35
11/09/2024,08:30,11/09/2024,10:30,2,Q2/1005,10062 Enginyeria Informàtica,102744 Bases de Dades - 431,42
11/09/2024,09:30,11/09/2024,10:30, ,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 410,Sense grup de matricula
11/09/2024,10:30,11/09/2024,11:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 412,Sense grup de matricula
11/09/2024,10:30,11/09/2024,11:30, ,Q3/0003,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 411,Sense grup de matricula
11/09/2024,10:30,11/09/2024,11:30, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 411,Sense grup de matricula
11/09/2024,10:30,11/09/2024,12:30,2,Q2/1009,10062 Enginyeria Informàtica,102747 Sistemes Operatius - 43,88
11/09/2024,10:30,11/09/2024,12:30,2,Q1/1003,10062 Enginyeria Informàtica,103801 Àlgebra - 43,69
11/09/2024,10:30,11/09/2024,12:30,2,QC/0011,10062 Enginyeria Informàtica,105072 Tecnologia Blockchain i Criptomonedes - 450,20
11/09/2024,10:30,11/09/2024,12:30, ,Q3/0013,10062 Enginyeria Informàtica,102778 Arquitectures Avançades - 430,40
11/09/2024,10:30,11/09/2024,12:30, ,Q2/1005,10062 Enginyeria Informàtica,102744 Bases de Dades - 411,41
11/09/2024,10:30,11/09/2024,12:30, ,Q5/1011,10062 Enginyeria Informàtica,102783 Anàlisi i Disseny d'Algorismes - 441,42
11/09/2024,11:30,11/09/2024,12:30, ,Q4/1005,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 412,Sense grup de matricula
11/09/2024,11:30,11/09/2024,12:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 411,Sense grup de matricula
11/09/2024,11:30,11/09/2024,12:30, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 412,Sense grup de matricula
11/09/2024,12:30,11/09/2024,13:30, ,Q3/0013,10062 Enginyeria Informàtica,102742 Tecnologies de Desenvolupament per a Internet i web - 413,Sense grup de matricula
11/09/2024,12:30,11/09/2024,13:30, ,Q1/0007,10062 Enginyeria Informàtica,103806 Fonaments d'Informàtica - 431,Sense grup de matricula
11/09/2024,12:30,11/09/2024,13:30,1,Q2/1003,10062 Enginyeria Informàtica,102771 Electricitat i Electrònica - 432,Sense grup de matricula
11/09/2024,12:30,11/09/2024,13:30, ,Q2/1009,10062 Enginyeria Informàtica,102740 Sistemes Distribuïts - 431,Sense grup de matricula
11/09/2024,12:30,11/09/2024,14:30,2,Q1/0019,10062 Enginyeria Informàtica,102744 Bases de Dades - 412,28
