estudi,curs_academic,id_anonim,sexe,curs_academic_acces_estudi,via_acces_estudi,nota_d_acces_preinscripcio,dedicacio_de_l_estudiant,s_n_discapacitat,beca_concedida,estudis_mare,estudis_pare,taxa_exit
Graduat En Enginyeria Informàtica,2020/21,1Dfb71F2B000D1421808D0B3F67B335E,Home,2020/21,Batx. / Cou Amb Pau,10.798,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,0.0
Graduat En Enginyeria Informàtica,2020/21,C26Bd2D93Ecb81Ccb559D5B01B51475B,Home,2016/17,Batx. / Cou Amb Pau,6.512,Temps Variable,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,56.0
Graduat En Enginyeria Informàtica,2020/21,7526Fb10E35C2E8808213E923F8F6125,Home,2020/21,Universitaris Batx. / Cou Amb Pau,11.468,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,Fe20Eba7Dc6B312D1F2Fea0A76D8E32D,Home,2016/17,Universitaris Batx. / Cou Amb Pau,10.102,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,22F995020F697929585Bbadac92Cab20,Home,2020/21,Universitaris Batx. / Cou Amb Pau,10.87,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,77.0
Graduat En Enginyeria Informàtica,2020/21,F01Eac8B34E7B6A1Bcf2015Ce188D898,Home,2020/21,Batx. / Cou Amb Pau,10.11,Temps Variable,N,Sí,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,35.0
Graduat En Enginyeria Informàtica,2020/21,F4537A70Eeeafbae2094F3Ad4A203F24,Home,2019/20,Batx. / Cou Amb Pau,8.252,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,60.0
Graduat En Enginyeria Informàtica,2020/21,88929Dfba9043020301B6869Ba1F932F,Home,2020/21,"Fp2, Cfgs",8.996,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,Ea0E3B57Cb88319E84D9C3Ff9F677Bee,Dona,2017/18,Batx. / Cou Amb Pau,7.438,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,C6De4045Bb4982D636E9Ff566E88Cc4B,Home,2018/19,"Fp2, Cfgs",8.216,Temps Complet,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,91A5Ca634064C9D404C5F5Ffa5D1F81C,Home,2017/18,Batx. / Cou Amb Pau,7.66,Temps Complet,N,Sí,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Fdb1556Adb28E0Eebeaf6A12Fd41550E,Home,2019/20,Batx. / Cou Amb Pau,8.274,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,Bb30759B938A8E8Af46C5Cde36F6182D,Home,2018/19,Batx. / Cou Amb Pau,10.114,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,9068Ec5Acfd7D29277C3C4A84C4392F7,Home,2020/21,Batx. / Cou Amb Pau,9.104,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,85.0
Graduat En Enginyeria Informàtica,2020/21,3E72F5Ae675Dc9C9D1Ab6E3345192322,Dona,2017/18,Batx. / Cou Amb Pau,6.96,Temps Variable,N,Sí,Estudis Primaris,Egb O Fp 1Er Grau,71.0
Graduat En Enginyeria Informàtica,2020/21,B00D385B35Cedafd7B69Dd3C9A70734A,Dona,2012/13,Batx. / Cou Amb Pau,6.376,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,4Bf7A4Caa155952F967292751008Cfbf,Home,2019/20,Batx. / Cou Amb Pau,9.362,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,26D5618Ff762D05E9D1D1565920B3Ac3,Home,2020/21,Batx. / Cou Amb Pau,9.066,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,20.0
Graduat En Enginyeria Informàtica,2020/21,436979Fd42239E732Ca74870570Ac2F9,Home,2017/18,"Fp2, Cfgs",8.373,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Ad038D02Cf53Dc258Fd828E09353C75D,Home,2019/20,Batx. / Cou Amb Pau,8.102,Temps Complet,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,72.0
Graduat En Enginyeria Informàtica,2020/21,Add3C0156Ae81E1985D8Eeb28Bed63D3,Home,2017/18,"Fp2, Cfgs",6.92,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,67E7163Bd055Be898235D6277Bf2762F,Home,2018/19,Batx. / Cou Amb Pau,11.11,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,79Dcc031D42B367117E10Ca0E611F6E3,Home,2019/20,Batx. / Cou Amb Pau,10.002,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,2463B245Ac186Af04600724E6656D0D1,Home,2017/18,Batx. / Cou Amb Pau,10.62,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,F0Bce037Bdaa483864D5C4Dcbc018Dc1,Home,2020/21,Batx. / Cou Amb Pau,12.259,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,89.0
Graduat En Enginyeria Informàtica,2020/21,9D49B74620Ab047Cb32384D0A325Db54,Home,2017/18,Batx. / Cou Amb Pau,10.05,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,78.0
Graduat En Enginyeria Informàtica,2020/21,3D4412F914D261Ca0C99101F5277804B,Home,2016/17,Batx. / Cou Amb Pau,7.07,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,793Cf8F9C4D509E045683F384Ea5A33A,Home,2012/13,Batx. / Cou Amb Pau,6.09,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,5148F0649Cf0Ead9D96B989250D46Fa1,Home,2018/19,Universitaris Fp2 / Cfgs,7.909,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,31.0
Graduat En Enginyeria Informàtica,2020/21,6B812F14E297E4Aad4Cc0D6B6E84F2D9,Home,2019/20,"Fp2, Cfgs",6.21,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,79.0
Graduat En Enginyeria Informàtica,2020/21,1E6Aed16F77D8A3000Fd2934E18B79Fe,Dona,2020/21,Batx. / Cou Amb Pau,11.072,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Egb O Fp 1Er Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,543339F552E0B0E988D8Bbbd6465185B,Home,2020/21,Sense Assignar,0.0,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,47.0
Graduat En Enginyeria Informàtica,2020/21,30137726211509852Caf731Fbffd77C0,Home,2016/17,Universitaris Batx. / Cou Amb Pau,8.166,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Sense Assignar,86.0
Graduat En Enginyeria Informàtica,2020/21,Dc9087Af50B32599Ca2D007Cebbd86Ae,Home,2019/20,Batx. / Cou Amb Pau,8.18,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,92.0
Graduat En Enginyeria Informàtica,2020/21,77Fe504219Fb0E55354407F713794Ac9,Dona,2019/20,Batx. / Cou Amb Pau,9.55,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,100.0
Graduat En Enginyeria Informàtica,2020/21,4D28591390C2751D70507Dc75Df5F740,Dona,2019/20,Batx. / Cou Amb Pau,7.876,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Egb O Fp 1Er Grau,40.0
Graduat En Enginyeria Informàtica,2020/21,79D34F536882Cefc0A362Ba7D24D3374,Home,2018/19,Batx. / Cou Amb Pau,10.424,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,8A0024616279A6458Fafeb70D0097E29,Home,2019/20,Batx. / Cou Amb Pau,10.502,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,80.0
Graduat En Enginyeria Informàtica,2020/21,4C154Da445B2Bd6495627A8Dd590D2Fc,Home,2020/21,"Fp2, Cfgs",9.276,Temps Complet,N,Sí,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,65.0
Graduat En Enginyeria Informàtica,2020/21,1Fdae19E9797228E67Dde7Bd40272C43,Home,2018/19,"Fp2, Cfgs",7.574,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,56.0
Graduat En Enginyeria Informàtica,2020/21,63397Dc3D8C8C9395Cdfdc811409E0Be,Home,2020/21,Batx. / Cou Amb Pau,9.004,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,70.0
Graduat En Enginyeria Informàtica,2020/21,Da363B623Ca19Ab3Bb048Df3Ffe06B9C,Home,2016/17,Batx. / Cou Amb Pau,7.122,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,30278E0F8Ec87Ae905B2Ab401F617D6F,Home,2020/21,Sense Assignar,0.0,Sense Assignar,N,No,Sense Assignar,Sense Assignar,100.0
Graduat En Enginyeria Informàtica,2020/21,14429Da68300Db93Bf88B1472E141F58,Home,2020/21,Batx. / Cou Amb Pau,10.118,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,14.0
Graduat En Enginyeria Informàtica,2020/21,F661A5A7Eb85E89Ec618Fbfc98F11E1F,Home,2016/17,"Fp2, Cfgs",8.235,Temps Variable,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,7174E807126546C40C58Aa0453E761A7,Home,2016/17,"Fp2, Cfgs",7.588,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,63.0
Graduat En Enginyeria Informàtica,2020/21,8847C289026C0C7Ba98D7285Bdd7774C,Home,2019/20,Batx. / Cou Amb Pau,8.416,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,18Aba72A1Fdb59B0524D1F92C3Cf7Cbf,Home,2018/19,Batx. / Cou Amb Pau,9.352,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,2Fd431687Fed567E6A4D12Cbffd47C9E,Home,2020/21,Batx. / Cou Amb Pau,11.226,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,0258B28F39Ae83Bdd3F92675Ceea6D20,Dona,2020/21,Batx. / Cou Amb Pau,9.428,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,70.0
Graduat En Enginyeria Informàtica,2020/21,1900A20299D01E4E811468Fdf4Eb6Fd8,Home,2018/19,Batx. / Cou Amb Pau,8.638,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,75.0
Graduat En Enginyeria Informàtica,2020/21,Bce3Beefa9C1Ca893415E86719F80Bce,Dona,2018/19,Majors De 25 Anys,7.188,Temps Variable,N,No,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,C666C52F821B78Fe69A293A2D25Dc99E,Home,2017/18,Batx. / Cou Amb Pau,6.86,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,71.0
Graduat En Enginyeria Informàtica,2020/21,6C2Dd871E0B97D757A62Eceb3Ebf56F5,Home,2017/18,Batx. / Cou Amb Pau,9.562,Temps Complet,N,Sí,Diplomat O Enginyer Tèc.,Sense Assignar,100.0
Graduat En Enginyeria Informàtica,2020/21,17Ca9E8472387C8B413741C4C03Effd4,Home,2015/16,Batx. / Cou Amb Pau,7.636,Temps Complet,N,Sí,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,3D4667E59215Ea57857Ee52C7089A24A,Home,2015/16,Batx. / Cou Amb Pau,10.308,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,2E34820F8D0Acd3B4094Ad1Ffe7Dc764,Home,2019/20,Universitaris Fp2 / Cfgs,8.629,Temps Complet,N,No,Egb O Fp 1Er Grau,Sense Assignar,90.0
Graduat En Enginyeria Informàtica,2020/21,D51586C963D21104Ec43A380A5F9E3F0,Dona,2016/17,Batx. / Cou Amb Pau,6.478,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,13.0
Graduat En Enginyeria Informàtica,2020/21,122D449255E2Dccb5407Eb05Ba7Ca429,Home,2020/21,Batx. / Cou Amb Pau,9.82,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,C229D4C360E2B0D1083Acb5872A5E6C7,Home,2015/16,Batx. / Cou Amb Pau,7.42,Temps Complet,N,No,Sense Assignar,Batxillerat O Fp 2N Grau,80.0
Graduat En Enginyeria Informàtica,2020/21,F3Fb9E5Ab94Be21468Bd304F67Ff34A4,Home,2017/18,Universitaris Batx. / Cou Amb Pau,7.968,Temps Variable,N,Sí,Estudis Primaris,Estudis Primaris,80.0
Graduat En Enginyeria Informàtica,2020/21,C5A75230Ab905Cc0B8865D4B0A90D043,Home,2016/17,Batx. / Cou Amb Pau,9.842,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,86.0
Graduat En Enginyeria Informàtica,2020/21,Cce7C06E5C1Cc96019D2B16982F5E8B4,Home,2016/17,Batx. / Cou Amb Pau,7.2,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,88.0
Graduat En Enginyeria Informàtica,2020/21,323A3Caec5245Df7Bb4F1D80B8069298,Home,2018/19,Batx. / Cou Amb Pau,9.912,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,71D97Ee836F0418C384Eff3787Eff606,Home,2016/17,Batx. / Cou Amb Pau,7.996,Temps Variable,N,Sí,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,80.0
Graduat En Enginyeria Informàtica,2020/21,1A3E7Bebcca4269D684292Dd46F3A492,Home,2020/21,Batx. / Cou Amb Pau,9.004,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,60.0
Graduat En Enginyeria Informàtica,2020/21,Ab79Ad4808Fab43B599D515A0296Fe26,Home,2020/21,Batx. / Cou Amb Pau,9.802,Temps Complet,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,55.0
Graduat En Enginyeria Informàtica,2020/21,7972Ddaef9Cd5D2400C06Be7519Add18,Home,2020/21,Batx. / Cou Amb Pau,9.104,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,40.0
Graduat En Enginyeria Informàtica,2020/21,25Bf28543B1F66399Bb36491Fb32B225,Home,2017/18,Batx. / Cou Amb Pau,8.3,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,F50A2Fdb8Ed472B84E2Aa43Fc2F4D14B,Home,2020/21,Batx. / Cou Amb Pau,9.36,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,30.0
Graduat En Enginyeria Informàtica,2020/21,Eb6Cb79188Abbd3Cf6D94F79A9337772,Home,2018/19,Batx. / Cou Amb Pau,8.204,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,F925A4Ec7Fa28Bde979F639Ea018E488,Home,2019/20,Batx. / Cou Amb Pau,8.95,Temps Complet,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,46.0
Graduat En Enginyeria Informàtica,2020/21,0Ded69Dc6E91405Ef27D00D87C9Ffb48,Home,2017/18,Universitaris Batx. / Cou Amb Pau,8.156,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,2Bae6B24A4Ffeb52E8Ec90Ac9A724016,Home,2016/17,"Fp2, Cfgs",6.67,Temps Variable,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,986418C7123Db365E85Fdc0151F219A3,Home,2020/21,Batx. / Cou Amb Pau,10.018,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,5F80A226E760B8B4Fc324Fd706F2A7D0,Home,2017/18,Batx. / Cou Amb Pau,8.134,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,9B2118Bf09C1F80907A550B98170F8C2,Home,2018/19,Batx. / Cou Amb Pau,10.158,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,510F91C0E300C04020D5Ce078565B8F6,Home,2015/16,Batx. / Cou Amb Pau,6.466,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Af3D7Bba6B69D73F7Efda77Db1268D1A,Home,2020/21,Batx. / Cou Amb Pau,11.492,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Sense Assignar,100.0
Graduat En Enginyeria Informàtica,2020/21,A431Ee1E9Fdde31Aa6Bb4C2Cf6826D81,Home,2017/18,"Fp2, Cfgs",7.042,Temps Variable,N,No,Estudis Primaris,Diplomat O Enginyer Tèc.,33.0
Graduat En Enginyeria Informàtica,2020/21,8Adb64987B6Fc30603057873549C16Ad,Home,2015/16,Batx. / Cou Amb Pau,7.924,Temps Variable,'-2,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,017301A753B1Ef36Dd045A4C2C6Dc1Df,Dona,2018/19,Batx. / Cou Amb Pau,8.276,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,D67F2Bd7E2E5026Bb925D2937Cb0De65,Home,2019/20,Batx. / Cou Amb Pau,8.942,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,3Ca9Dc4Ae9398Ac07D0786E9Deec4C4D,Home,2016/17,Batx. / Cou Amb Pau,8.016,Temps Complet,N,Sí,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,88.0
Graduat En Enginyeria Informàtica,2020/21,8188435C3F8C0F139C7629Ffc421E55F,Home,2015/16,Universitaris Fp2 / Cfgs,7.76,Temps Variable,N,No,Batxillerat O Fp 2N Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,39A332B005A0Fc7713Dc6149F560Ee34,Home,2020/21,Batx. / Cou Amb Pau,9.47,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,831467D928E1E6F50F9Fc15B8D8E2Cb0,Home,2020/21,Sense Assignar,0.0,Temps Parcial,N,Sí,Sense Assignar,Sense Assignar,80.0
Graduat En Enginyeria Informàtica,2020/21,9F0189C5887B136D166B1359C6801Be0,Home,2018/19,Universitaris Batx. / Cou Amb Pau,8.494,Temps Variable,N,Sí,Egb O Fp 1Er Grau,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Fa38Da6A6A4B5742162Df3Dccb90Cb06,Home,2020/21,Batx. / Cou Amb Pau,9.404,Temps Variable,N,Sí,Batxillerat O Fp 2N Grau,Diplomat O Enginyer Tèc.,65.0
Graduat En Enginyeria Informàtica,2020/21,328A2E4A40Efd2A7Bf289B50D73F0458,Home,2018/19,Batx. / Cou Amb Pau,9.33,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,8A316Bb789F6E44E30Cb9Df5B7626C2E,Home,2020/21,Batx. / Cou Amb Pau,9.604,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,55.0
Graduat En Enginyeria Informàtica,2020/21,Db4529C66B3175137456Bdb26B87B49C,Home,2016/17,Batx. / Cou Amb Pau,9.11,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,42.0
Graduat En Enginyeria Informàtica,2020/21,99D7Ee9556E69792833585F7D4A2C858,Home,2014/15,Batx. / Cou Amb Pau,6.356,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,99De6321Ce933121Be75Baee545B6041,Home,2018/19,"Fp2, Cfgs",7.903,Temps Variable,N,Sí,Estudis Primaris,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,4Cd7B22Fd0F26807B575D3E3D9978Eea,Home,2019/20,Batx. / Cou Amb Pau,9.082,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,44.0
Graduat En Enginyeria Informàtica,2020/21,358012D1C4D7Dd5D650Cbb9C848A4078,Home,2020/21,"Fp2, Cfgs",8.824,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,0.0
Graduat En Enginyeria Informàtica,2020/21,5C23D546757103730Dee626E427085Ef,Home,2017/18,Universitaris Fp2 / Cfgs,9.039,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,A7F1F920B2C7Fe5De66B507Bb974002C,Home,2017/18,Batx. / Cou Amb Pau,8.07,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,83.0
Graduat En Enginyeria Informàtica,2020/21,47E9Dae7E74F3A39143Fcd737407F04A,Home,2018/19,"Fp2, Cfgs",8.23,Temps Complet,N,Sí,Egb O Fp 1Er Grau,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,0F2055B50754862D8E2591A666Ac961D,Home,2017/18,"Fp2, Cfgs",7.0,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,80.0
Graduat En Enginyeria Informàtica,2020/21,6A0023B4296660B00111C258E1E9E11A,Home,2018/19,Batx. / Cou Amb Pau,8.284,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,91.0
Graduat En Enginyeria Informàtica,2020/21,C84Bb64Ef892Fba8B55Ef62B14Bc8A22,Home,2020/21,Batx. / Cou Amb Pau,9.75,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,90.0
Graduat En Enginyeria Informàtica,2020/21,9Efef8B4799A94Bacd27C09F8F032Dfb,Home,2018/19,Batx. / Cou Amb Pau,8.318,Temps Complet,N,No,Batxillerat O Fp 2N Grau,Batxillerat O Fp 2N Grau,63.0
Graduat En Enginyeria Informàtica,2020/21,7Fd9B07B2546B1Ac9387C7F850Cf4534,Home,2019/20,Batx. / Cou Amb Pau,8.69,Temps Complet,N,Sí,Estudis Primaris,Estudis Primaris,60.0
Graduat En Enginyeria Informàtica,2020/21,D8Fa9Cc1D6A63147Ab28C00F950991E5,Home,2017/18,Batx. / Cou Amb Pau,7.784,Temps Complet,N,Sí,Sense Assignar,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,716392Ed6F6Ca5146C258E88D541D458,Home,2020/21,Batx. / Cou Amb Pau,9.892,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,90.0
Graduat En Enginyeria Informàtica,2020/21,C48790Aba3Ff99C055586Db33C5A802D,Dona,2013/14,Universitaris Batx. / Cou Amb Pau,6.124,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,0.0
Graduat En Enginyeria Informàtica,2020/21,0Ab7F80E72De395B2D1591C8Dd606Cc8,Home,2017/18,Batx. / Cou Amb Pau,7.116,Temps Variable,N,Sí,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,57.0
Graduat En Enginyeria Informàtica,2020/21,C3407Dff875Aa08D1787F4161E235254,Dona,2020/21,Batx. / Cou Amb Pau,11.88,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,1A40Bb445F54912551C936D971E51C53,Home,2018/19,Batx. / Cou Amb Pau,7.942,Temps Variable,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,0.0
Graduat En Enginyeria Informàtica,2020/21,8A099Ea6A5Fcc96C75D5221Bc2A14D9C,Home,2016/17,Batx. / Cou Amb Pau,7.516,Temps Variable,N,No,Egb O Fp 1Er Grau,Egb O Fp 1Er Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,A1C12Bd8519E4D73353E380Aaf125B1E,Home,2020/21,Batx. / Cou Amb Pau,9.878,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
Graduat En Enginyeria Informàtica,2020/21,Ad6B586D7B31019C93501598411C7A62,Home,2019/20,Batx. / Cou Amb Pau,10.354,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Batxillerat O Fp 2N Grau,100.0
Graduat En Enginyeria Informàtica,2020/21,3B24Fb05E026B6F3D3Cf07E805D6C04E,Home,2020/21,Batx. / Cou Amb Pau,9.928,Temps Complet,N,No,Diplomat O Enginyer Tèc.,Diplomat O Enginyer Tèc.,100.0
