CODI_IND,Assignatura,GRUP,codi assignatura,Curs,Titulació,Sexe Docent,Campus,Horari,TIPOLOGIA,Matrícules-Assignatura,MH,EX,NOT,AP,SUS,NP,Taxa de rendiment,Taxa d'èxit,Taxa_exc,S11,S12,S13,S14,S15,PS1,SS1,S21,S22,S23,S24,S25,PS2,SS2,S31,S32,S33,S34,S35,PS3,SS3,S41,S42,S43,S44,S45,PS4,SS4,Num_sessions,PAS1,PAS2,PAS3,PAS4,PASTOT,PAB1,PAB2,PAB3,PAB4,PABTOT
1046752,Fonaments de màrqueting,2,104675,3,ADE,M,Bellaterra,mati,0,107,0,5,44,44,5,9,0.869,0.949,0.458,,,,,81,81,1,,,,,78,78,1,,,,,48,48,1,,,,,63,63,1,4,0.757,0.729,0.449,0.589,0.631,0.243,0.271,0.551,0.411,0.369
1046754,Fonaments de màrqueting,4,104675,1,ADE anglés,M,Bellaterra,mati,0,94,0,1,64,23,5,1,0.936,0.946,0.691,,,,,82,82,1,,,,,,,0,,,,,28,28,1,,,,,33,33,1,3,0.872,,0.298,0.351,0.507,0.128,,0.702,0.649,0.493
10467552,Fonaments de màrqueting,52,104675,1,ADE,M,Bellaterra,tarda,0,78,0,1,11,53,5,8,0.833,0.929,0.154,,,,,65,65,1,25,,,,58,41.5,2,23,,,,32,27.5,2,15,,,,65,40,2,7,0.833,0.532,0.353,0.513,0.558,0.167,0.468,0.647,0.487,0.442
10467560,Fonaments de màrqueting,60,104675,3,ADE+Dret,F,Bellaterra,mati,0,66,0,1,20,34,9,1,0.833,0.846,0.318,,,,,,,0,,58,,,,58,1,,,,61,,61,1,,,,,,,0,2,,0.879,0.924,,0.902,,0.121,0.076,,0.098
10215420,Fonaments de programació,20,102154,1,EIT,M,Sabadell,mati,1,98,3,0,23,50,14,6,0.776,0.826,0.265,,,,70,,70,1,,,,33,,33,1,,,,32,,32,1,,,,,,,0,3,0.714,0.337,0.327,,0.459,0.286,0.663,0.673,,0.541
10217920,Gestió de recursos Humans,20,102179,3,EIT,M,Sabadell,mati,0,58,0,3,47,7,1,0,0.983,0.983,0.862,,,,,37,37,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.638,,,,0.638,0.362,,,,0.362
10460920,Gestió per processos,20,104609,2,EIT,M,Sabadell,mati,0,83,0,0,24,54,1,4,0.94,0.987,0.289,60,,,,,60,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.723,,,,0.723,0.277,,,,0.277
10209510,Història de l'empresa,10,102095,3,CIF,F,Sabadell,mati,0,39,0,1,8,26,4,0,0.897,0.897,0.231,,,,18,,18,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.462,,,,0.462,0.538,,,,0.538
1023151,Història econòmica contemporània,1,102315,3,ECO,M,Bellaterra,mati,0,71,2,0,13,51,5,0,0.93,0.93,0.211,,,,,35,35,1,,,,,29,29,1,,,,,33,33,1,,,,,,,0,3,0.493,0.408,0.465,,0.455,0.507,0.592,0.535,,0.545
10231551,Història econòmica contemporània,51,102315,3,ECO,M,Bellaterra,tarda,0,37,0,0,4,29,3,1,0.892,0.917,0.108,,,,,23,23,1,,,,,,,0,23,,,,20,21.5,2,,,,,22,22,1,4,0.622,,0.581,0.595,0.599,0.378,,0.419,0.405,0.401
1023158,Història econòmica contemporània,8,102315,3,ECO anglés,F,Bellaterra,mati,0,46,0,0,5,21,14,4,0.565,0.619,0.109,,,,,23,23,1,,,,,17,17,1,,,,,17,17,1,19,,,,,19,1,4,0.5,0.37,0.37,0.413,0.413,0.5,0.63,0.63,0.587,0.587
1023141,Història econòmica d'Espanya,1,102314,1,ECO,F,Bellaterra,mati,0,97,1,2,10,34,43,6,0.485,0.516,0.134,,,,,,,0,52,,,,,52,1,43,,,,,43,1,43,,,,,43,1,3,,0.536,0.443,0.443,0.474,,0.464,0.557,0.557,0.526
1023148,Història econòmica d'Espanya,8,102314,1,ECO anglés,M,Bellaterra,mati,0,54,2,0,5,24,20,3,0.574,0.608,0.13,,,,,47,47,1,,,,,35,35,1,,,,,,,0,,,,,16,16,1,3,,0.648,,0.296,0.472,,0.352,,0.704,0.528
10233060,Història econòmica Mundial,60,102330,1,ADE+Dret,F,Bellaterra,mati,0,76,2,1,10,46,15,2,0.776,0.797,0.171,50,,,,,50,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.658,,,,0.658,0.342,,,,0.342
10578410,Història econòmica,10,105784,1,CIF,F,Sabadell,mati,0,101,0,0,12,62,20,7,0.733,0.787,0.119,66,,,,,66,1,,,,,,,0,66,,,,,66,1,,,,50,,50,1,3,0.653,,0.653,0.495,0.601,0.347,,0.347,0.505,0.399
10214120,Història econòmica,20,102141,2,EIT,M,Sabadell,mati,0,81,0,0,20,55,3,3,0.926,0.962,0.247,,,75,,,75,1,,,74,,,74,1,,,75,,,75,1,,,80,,,80,1,4,0.926,0.914,0.926,0.988,0.938,0.074,0.086,0.074,0.012,0.062
10578450,Història Econòmica,50,105784,1,CIF,F,Sabadell,tarda,0,70,1,0,4,32,23,10,0.529,0.617,0.071,53,,,,,53,1,53,,,,,53,1,41,,,,,41,1,,,,42,,42,1,4,0.757,0.757,0.586,0.6,0.675,0.243,0.243,0.414,0.4,0.325
1023661,Introducció a la comptabilitat,1,102366,1,ECO,F,Bellaterra,mati,1,88,3,0,19,43,13,10,0.739,0.833,0.25,,,,35,,35,1,,73,,55,,64,2,,,,66,,66,1,,58,,62,,60,2,6,0.398,0.727,0.75,0.682,0.639,0.602,0.273,0.25,0.318,0.361
1023662,Introducció a la comptabilitat,2,102366,1,ADE,F,Bellaterra,mati,1,120,1,1,30,57,28,3,0.742,0.761,0.267,,86,,,,86,1,,100,,,,100,1,,65,,,,65,1,,73,,,,73,1,4,0.717,0.833,0.542,0.608,0.675,0.283,0.167,0.458,0.392,0.325
1023664,Introducció a la comptabilitat,4,102366,1,ADE anglés,F,Bellaterra,mati,1,110,2,0,30,50,23,5,0.745,0.781,0.291,,54,,,,54,1,,48,,,,48,1,,28,,40,,34,2,,47,,,,47,1,5,0.491,0.436,0.309,0.427,0.416,0.509,0.564,0.691,0.573,0.584
10236651,Introducció a la comptabilitat,51,102366,1,ECO,M,Bellaterra,tarda,1,82,0,0,6,28,44,3,0.415,0.43,0.073,,,,45,,45,1,,,,29,,29,1,,,,14,,14,1,,13,,14,,13.5,2,5,0.549,0.354,0.171,0.165,0.309,0.451,0.646,0.829,0.835,0.691
10236652,Introducció a la comptabilitat,52,102366,1,ADE,M,Bellaterra,tarda,1,76,0,0,5,37,21,13,0.553,0.667,0.066,,46,,,,46,1,,60,,,,60,1,,41,,,,41,1,,41,,,,41,1,4,0.605,0.789,0.539,0.539,0.618,0.395,0.211,0.461,0.461,0.382
10236660,Introducció a la comptabilitat,60,102366,1,ADE+Dret,F,Bellaterra,mati,1,86,0,0,15,55,13,3,0.814,0.843,0.174,66,,,,,66,1,52,,,,,52,1,37,,,,,37,1,,,,,,,0,3,0.767,0.605,0.43,,0.601,0.233,0.395,0.57,,0.399
1023668,Introducció a la comptabilitat,8,102366,1,ECO anglés,F,Bellaterra,mati,1,90,1,0,12,53,21,2,0.733,0.75,0.144,,,,40,,40,1,,50,,72,,61,2,,,,80,,80,1,,,,39,,39,1,5,0.444,0.678,0.889,0.433,0.611,0.556,0.322,0.111,0.567,0.389
10216320,Introducció a la Gestió de la Innovació,20,102163,3,EIT,F,Sabadell,mati,0,59,2,2,46,8,1,0,0.983,0.983,0.847,58,,,,,58,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.983,,,,0.983,0.017,,,,0.017
10214820,Introducció als sistemes d'informació,20,102148,2,EIT,M,Sabadell,mati,0,81,4,3,42,27,0,5,0.938,1,0.605,,63,,,,63,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.778,,,,0.778,0.222,,,,0.222
1023552,Investigació Comercial I,2,102355,3,ADE,F,Bellaterra,mati,1,49,0,0,19,25,1,4,0.898,0.978,0.388,34,,,,,34,1,45,,,,,45,1,,,,,,,0,23,,,,,23,1,3,0.694,0.918,,0.469,0.694,0.306,0.082,,0.531,0.306
10235552,Investigació Comercial I,52,102355,3,ADE,F,Bellaterra,tarda,1,39,0,0,12,26,0,1,0.974,1,0.308,32,,,,,32,1,32,,,,,32,1,,,,,,,0,,,,,,,0,2,0.821,0.821,,,0.821,0.179,0.179,,,0.179
10235560,Investigació Comercial I,60,102355,3,ADE+Dret,F,Bellaterra,mati,1,69,2,1,41,24,1,0,0.986,0.986,0.638,,,,,,,0,37,,,,,37,1,20,,,,,20,1,18,,,,,18,1,3,,0.536,0.29,0.261,0.362,,0.464,0.71,0.739,0.638
10215020,Investigació operativa,20,102150,2,EIT,F,Sabadell,mati,1,93,0,0,23,57,9,4,0.86,0.899,0.247,,,,,,,0,,70,,,,70,1,,62,,59,,60.5,2,,,,,,,0,3,,0.753,0.651,,0.702,,0.247,0.349,,0.298
1023841,Macroeconomia I,1,102384,2,ECO,M,Bellaterra,mati,1,83,0,0,1,44,33,3,0.542,0.563,0.012,,,,,53,53,1,,,,,32,32,1,,,,,,,0,,,,,,,0,2,0.639,0.386,,,0.512,0.361,0.614,,,0.488
1023842,Macroeconomia I,2,102384,2,ADE,F,Bellaterra,mati,1,85,1,0,20,54,10,0,0.882,0.882,0.247,56,,,,,56,1,47,,,,,47,1,,,,,,,0,36,,,,,36,1,3,0.659,0.553,,0.424,0.545,0.341,0.447,,0.576,0.455
1023844,Macroeconomia I,4,102384,2,ADE anglés,M,Bellaterra,mati,1,76,0,0,5,55,14,2,0.789,0.811,0.066,36,,,,,36,1,29,,,,,29,1,16,,,,,16,1,16,,,,,16,1,4,0.474,0.382,0.211,0.211,0.319,0.526,0.618,0.789,0.789,0.681
10238452,Macroeconomia I,52,102384,2,ADE,F,Bellaterra,tarda,1,84,0,0,1,52,26,5,0.631,0.671,0.012,46,,,,,46,1,36,,,,,36,1,,,25,,,25,1,37,,,,,37,1,4,0.548,0.429,0.298,0.44,0.429,0.452,0.571,0.702,0.56,0.571
10238460,Macroeconomia I,60,102384,3,ADE+Dret,F,Bellaterra,mati,1,71,0,0,25,40,5,0,0.915,0.915,0.352,,,,,31,31,1,,,,,30,30,1,,,,,22,22,1,,,,,30,30,1,4,0.437,0.423,0.31,0.423,0.398,0.563,0.577,0.69,0.577,0.602
1023848,Macroeconomia I,8,102384,2,ECO anglés,M,Bellaterra,mati,1,44,0,0,1,24,19,0,0.568,0.568,0.023,,,,,23,23,1,,,,,17,17,1,,,,,,,0,,,,,9,9,1,3,0.523,0.386,,0.205,0.371,0.477,0.614,,0.795,0.629
1023838,Macroeconomia II,8,102383,2,ECO anglés,M,Bellaterra,mati,1,46,1,0,2,22,18,1,0.543,0.556,0.065,,29,,,,29,1,,,,34,,34,1,,5,,36,,20.5,2,,24,,,,24,1,5,0.63,0.739,0.446,0.522,0.584,0.37,0.261,0.554,0.478,0.416
1023821,Macroeconomia III,1,102382,3,ECO,M,Bellaterra,mati,1,63,0,0,8,30,20,4,0.603,0.644,0.127,,27,,,,27,1,,25,,,,25,1,,,,,,,0,,,,,,,0,2,0.429,0.397,,,0.413,0.571,0.603,,,0.587
10238251,Macroeconomia III,51,102382,3,ECO,M,Bellaterra,tarda,1,98,1,0,10,52,27,3,0.643,0.663,0.112,,49,,,,49,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.5,,,,0.5,0.5,,,,0.5
1023828,Macroeconomia III,8,102382,3,ECO anglés,M,Bellaterra,mati,1,41,1,0,5,19,12,2,0.61,0.641,0.146,,29,,,,29,1,,29,,27,,28,2,,22,,29,,25.5,2,,26,,24,,25,2,7,0.707,0.683,0.622,0.61,0.655,0.293,0.317,0.378,0.39,0.345
10211810,Macroeconomia,10,102118,2,CIF,F,Sabadell,mati,1,88,0,0,1,53,30,0,0.614,0.614,0.011,,50,,,,50,1,,43,,,44,43.5,2,,35,,,30,32.5,2,,45,,,25,35,2,7,0.568,0.494,0.369,0.398,0.457,0.432,0.506,0.631,0.602,0.543
10211850,Macroeconomia,50,102118,2,CIF,F,Sabadell,tarda,1,51,0,0,0,28,11,7,0.549,0.636,0,,28,,,,28,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.549,,,,0.549,0.451,,,,0.451
10668520,Màrqueting digital,20,106685,3,EIT,M,Sabadell,mati,0,51,1,1,19,27,0,3,0.941,1,0.412,,,,36,,36,1,,30,,33,,31.5,2,,,,36,,36,1,,,,23,,23,1,5,0.706,0.618,0.706,0.451,0.62,0.294,0.382,0.294,0.549,0.38
10213810,Màrqueting,10,102138,2,CIF,M,Sabadell,mati,0,62,0,3,28,30,0,1,0.984,1,0.5,,,,49,,49,1,,,,55,,55,1,,,,,,,0,,,,,,,0,2,0.79,0.887,,,0.839,0.21,0.113,,,0.161
10213850,Màrqueting,50,102138,2,CIF,M,Sabadell,tarda,0,36,0,0,5,24,3,4,0.806,0.906,0.139,,,,27,,27,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.75,,,,0.75,0.25,,,,0.25
1023441,Matemàtiques II,1,102344,1,ECO,M,Bellaterra,mati,1,86,2,4,24,33,17,6,0.733,0.788,0.349,,,58,,,58,1,,,62,,,62,1,,,55,,,55,1,,,,,,,0,3,0.674,0.721,0.64,,0.678,0.326,0.279,0.36,,0.322
10209610,Matemàtiques II,10,102096,1,CIF,M,Sabadell,mati,1,103,1,0,17,52,23,10,0.68,0.753,0.175,,,,42,,42,1,,36,,77,,56.5,2,,,,17,,17,1,,,,17,,17,1,5,0.408,0.549,0.165,0.165,0.322,0.592,0.451,0.835,0.835,0.678
1023442,Matemàtiques II,2,102344,1,ADE,F,Bellaterra,mati,1,90,2,4,30,40,9,5,0.844,0.894,0.4,64,,,,,64,1,52,,61,,,56.5,2,60,,,,,60,1,66,,,,,66,1,5,0.711,0.628,0.667,0.733,0.685,0.289,0.372,0.333,0.267,0.315
10209620,Matemàtiques II,20,102096,1,EIT,M,Sabadell,mati,1,86,6,7,16,39,10,8,0.791,0.872,0.337,55,,,,,55,1,,,,,,,0,,,,,,,0,,,,,,,0,1,0.64,,,,0.64,0.36,,,,0.36
1023444,Matemàtiques II,4,102344,1,ADE anglés,M,Bellaterra,mati,1,77,1,0,23,31,18,4,0.714,0.753,0.312,46,,,,,46,1,42,,,,,42,1,40,,,,,40,1,40,,,,,40,1,4,0.597,0.545,0.519,0.519,0.545,0.403,0.455,0.481,0.481,0.455
