Id Anònim PD,Tram Docència/Recerca,S/N Tram Viu
F0489BA0BFDCCEB489EC1273F9F7B7A4,Docència,S
F0489BA0BFDCCEB489EC1273F9F7B7A4,Recerca,S
40A65185CBBFD50D47AC210145F8CD5D,Docència,N
40A65185CBBFD50D47AC210145F8CD5D,Recerca,N
40A65185CBBFD50D47AC210145F8CD5D,Docència,S
94460EBE3289387A86D97B4AA8EA6263,Docència,N
94460EBE3289387A86D97B4AA8EA6263,Recerca,N
94460EBE3289387A86D97B4AA8EA6263,Docència,S
81B87839AD7EAED82C710B086B1A17FF,Docència,N
81B87839AD7EAED82C710B086B1A17FF,Recerca,N
81B87839AD7EAED82C710B086B1A17FF,Docència,S
7E4CD8798FBEF433FFB66813AAFD22BF,Docència,S
7E4CD8798FBEF433FFB66813AAFD22BF,Recerca,S
2F3CC7AA7A26C913B85AD264E4F8CBDD,Docència,S
9C83371A5BE582D7F361B8D07CF04ECE,Docència,N
9C83371A5BE582D7F361B8D07CF04ECE,Recerca,N
9C83371A5BE582D7F361B8D07CF04ECE,Docència,S
9C83371A5BE582D7F361B8D07CF04ECE,Recerca,S
77A8272DF5826315A159EF3EB43AAB62,Docència,N
77A8272DF5826315A159EF3EB43AAB62,Recerca,N
77A8272DF5826315A159EF3EB43AAB62,Docència,S
77A8272DF5826315A159EF3EB43AAB62,Recerca,S
002E493D80C22C612D36EA8235F9B86D,Docència,N
002E493D80C22C612D36EA8235F9B86D,Recerca,N
002E493D80C22C612D36EA8235F9B86D,Docència,S
002E493D80C22C612D36EA8235F9B86D,Recerca,S
0FC86FD5750C9F7A35477D4266AAB91B,Docència,N
0FC86FD5750C9F7A35477D4266AAB91B,Recerca,N
0FC86FD5750C9F7A35477D4266AAB91B,Recerca,S
F728DE606E3EC59EF3F99DA96C3CE788,Docència,N
F728DE606E3EC59EF3F99DA96C3CE788,Recerca,N
F728DE606E3EC59EF3F99DA96C3CE788,Docència,S
B5B9B849FC7D60C361BA33013821B7F9,Docència,N
B5B9B849FC7D60C361BA33013821B7F9,Recerca,N
B5B9B849FC7D60C361BA33013821B7F9,Recerca,S
34A699C964A740FCA3E768F3C9CEB5EF,Recerca,N
34A699C964A740FCA3E768F3C9CEB5EF,Docència,S
34A699C964A740FCA3E768F3C9CEB5EF,Recerca,S
8FE34962C5AC75E1B57F728340E35EEF,Docència,N
8E895696EF7C7FB3B388BF1CBE4B9966,Docència,N
8E895696EF7C7FB3B388BF1CBE4B9966,Recerca,N
8E895696EF7C7FB3B388BF1CBE4B9966,Docència,S
3E5F0BCC42ECAE13CED8168475A57249,Docència,N
3E5F0BCC42ECAE13CED8168475A57249,Recerca,N
3E5F0BCC42ECAE13CED8168475A57249,Docència,S
3E5F0BCC42ECAE13CED8168475A57249,Recerca,S
48C2EE2C786575B557A38360C8AFD6CB,Docència,N
48C2EE2C786575B557A38360C8AFD6CB,Recerca,N
48C2EE2C786575B557A38360C8AFD6CB,Docència,S
48C2EE2C786575B557A38360C8AFD6CB,Recerca,S
45E8D55C62D89DC24FEDE22D37C6103A,Docència,N
45E8D55C62D89DC24FEDE22D37C6103A,Docència,S
60D26AA0CBB7EB65DD1D80A036A26FF3,Docència,N
60D26AA0CBB7EB65DD1D80A036A26FF3,Recerca,N
60D26AA0CBB7EB65DD1D80A036A26FF3,Docència,S
60D26AA0CBB7EB65DD1D80A036A26FF3,Recerca,S
F87056FAF9477C07421E2502F7A0B634,Docència,N
F87056FAF9477C07421E2502F7A0B634,Recerca,N
F87056FAF9477C07421E2502F7A0B634,Docència,S
F87056FAF9477C07421E2502F7A0B634,Recerca,S
A6C5A93DB582ABDC98673562C1010B0E,Docència,N
A6C5A93DB582ABDC98673562C1010B0E,Recerca,N
A6C5A93DB582ABDC98673562C1010B0E,Recerca,S
724F356CE25CBD1E8EBFF880889BBD34,Docència,N
724F356CE25CBD1E8EBFF880889BBD34,Recerca,N
724F356CE25CBD1E8EBFF880889BBD34,Docència,S
724F356CE25CBD1E8EBFF880889BBD34,Recerca,S
4100905CF2B2A67766F8CA312A578E7B,Docència,N
4100905CF2B2A67766F8CA312A578E7B,Recerca,N
4100905CF2B2A67766F8CA312A578E7B,Docència,S
31395CED770693932096A8E169C6B25F,Docència,N
31395CED770693932096A8E169C6B25F,Recerca,N
31395CED770693932096A8E169C6B25F,Docència,S
0ADA329A3667D681AD9C64646C3C677F,Recerca,N
0ADA329A3667D681AD9C64646C3C677F,Recerca,S
FBB1D0AA8EB214A2CE4AEC289A3C6B6D,Docència,N
FBB1D0AA8EB214A2CE4AEC289A3C6B6D,Recerca,N
FBB1D0AA8EB214A2CE4AEC289A3C6B6D,Docència,S
57BEA5C8ACB66B4141E49FDA6DD1C5CA,Docència,N
57BEA5C8ACB66B4141E49FDA6DD1C5CA,Docència,S
F45ED80ACA48C08175ACBCD2A14101F9,Docència,N
F45ED80ACA48C08175ACBCD2A14101F9,Recerca,N
F45ED80ACA48C08175ACBCD2A14101F9,Docència,S
F45ED80ACA48C08175ACBCD2A14101F9,Recerca,S
82BF128D2047056417807AFE22F00EA6,Docència,N
82BF128D2047056417807AFE22F00EA6,Recerca,N
82BF128D2047056417807AFE22F00EA6,Docència,S
FF5E549C006AE2257F338EDCA5C77AB5,Docència,N
FF5E549C006AE2257F338EDCA5C77AB5,Recerca,N
FF5E549C006AE2257F338EDCA5C77AB5,Docència,S
8F81FA8534D98E0F3BBAF3BDA5A1C6C5,Docència,N
8F81FA8534D98E0F3BBAF3BDA5A1C6C5,Recerca,N
8F81FA8534D98E0F3BBAF3BDA5A1C6C5,Docència,S
8F81FA8534D98E0F3BBAF3BDA5A1C6C5,Recerca,S
576F6A8421FE2033AFC59CB3CA140F75,Docència,N
576F6A8421FE2033AFC59CB3CA140F75,Recerca,N
576F6A8421FE2033AFC59CB3CA140F75,Docència,S
576F6A8421FE2033AFC59CB3CA140F75,Recerca,S
49A065AE903286209F465D908144E9DD,Docència,N
49A065AE903286209F465D908144E9DD,Docència,S
49A065AE903286209F465D908144E9DD,Recerca,S
3DB606886AC485A8E8EE57CE14F96B32,Docència,N
3DB606886AC485A8E8EE57CE14F96B32,Recerca,N
3DB606886AC485A8E8EE57CE14F96B32,Docència,S
B6FDEA766737C2A3EB4EF1F92840AEFA,Docència,N
B6FDEA766737C2A3EB4EF1F92840AEFA,Recerca,N
B6FDEA766737C2A3EB4EF1F92840AEFA,Docència,S
B6FDEA766737C2A3EB4EF1F92840AEFA,Recerca,S
D845B1C796C792278ECC890BFD899594,Docència,N
D845B1C796C792278ECC890BFD899594,Recerca,N
D845B1C796C792278ECC890BFD899594,Docència,S
EDF264AD8B0200D9E3FD3AC19ACBCCF2,Docència,N
EDF264AD8B0200D9E3FD3AC19ACBCCF2,Recerca,N
EDF264AD8B0200D9E3FD3AC19ACBCCF2,Docència,S
EDF264AD8B0200D9E3FD3AC19ACBCCF2,Recerca,S
0B0E723901E596DA2491467DF467C3C8,Docència,N
16266C6156A9FDA5BBD9EA9A566042BD,Docència,N
16266C6156A9FDA5BBD9EA9A566042BD,Recerca,N
9499EECADAB18229A29ADA41AEA9E2B7,Docència,N
9499EECADAB18229A29ADA41AEA9E2B7,Recerca,N
9499EECADAB18229A29ADA41AEA9E2B7,Recerca,S
