Id Anonim PD,Categoria,Edat,Sexe,S/N Doctor,Dedicació Temps complet S/N,Antiguitat a la UAB (dies)
45D29CFE7691F1716B350B956B6C4EFD,PROFESSOR/A SUBSTITUT/A,54,Home,N,N,6629
45E8D55C62D89DC24FEDE22D37C6103A,PROFESSOR/A TITULAR D'UNIVERSITAT,61,Dona,S,S,13696
48C2EE2C786575B557A38360C8AFD6CB,CATEDRATIC/A D'UNIVERSITAT,51,Home,S,S,8582
4931B7BF8E3ADE7753988E44DE572F60,PROFESSOR/A ASSOCIAT/ADA LABORAL,64,Home,N,N,495
49A065AE903286209F465D908144E9DD,PROFESSOR/A LECTOR/A,48,Dona,S,S,486
4EF71CA1BA5C9EE8365B0315956BACA9,PROFESSOR/A TITULAR D'UNIVERSITAT,50,Home,S,S,7441
51850D88ADD497DACE4E30830A809A12,PROFESSOR/A ASSOCIAT/ADA LABORAL,47,Home,N,N,2757
568E08A6C5B529E10017C974E52E29B7,PROFESSOR/A LECTOR/A,33,Home,S,S,3469
576F6A8421FE2033AFC59CB3CA140F75,PROFESSOR/A TITULAR D'UNIVERSITAT,50,Dona,S,S,9329
57BEA5C8ACB66B4141E49FDA6DD1C5CA,PROFESSOR/A LECTOR/A,40,Home,S,S,5295
57EAA58336D8027B642A25C2D61F3D0F,PROFESSOR/A ASSOCIAT/ADA LABORAL,51,Home,N,N,158
58BEF05FD2078FC1F12E92D1423B5BE7,PROFESSOR/A ASSOCIAT/ADA LABORAL,47,Home,N,N,942
5CC432CA3F54D647B60779A83D2BD101,CATEDRÀTIC/A CONTRACTAT/ADA DOCTOR/A,54,Home,S,S,10790
5CE01F2B35EBE8EDDD1493F7639E30FD,PROFESSOR/A ASSOCIAT/ADA LABORAL,37,Home,S,N,5310
60854D4660A5483A316BE59C9BEACEF2,PROFESSOR/A ASSOCIAT/ADA LABORAL,27,Home,N,N,789
60D26AA0CBB7EB65DD1D80A036A26FF3,PROFESSOR/A TITULAR D'UNIVERSITAT,46,Home,S,S,8598
6610BDC731AF61B800FBCD8C2F12C587,PROFESSOR/A SUBSTITUT/A,30,Home,N,N,1672
6A768D2C1D5098B68CDF3247B290519E,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,44,Home,S,S,7394
6ADEFACB3CF186763424031115C63C60,PROFESSOR/A ASSOCIAT/ADA LABORAL,24,Home,N,N,211
6D37950F539262B029CD642F86FA6CA2,PROFESSOR/A ASSOCIAT/ADA LABORAL,51,Home,S,N,1648
6E056F2C84928F878649E23C352201AB,CATEDRATIC/A D'UNIVERSITAT,57,Dona,S,S,12600
7016337CEBFEF9044CBDC2AE88C66B68,INVESTIGADOR PREDOCTORAL FORMACIÓ,25,Home,N,S,903
715B520CE71E9F861B2F84ACA14BBFFC,PROFESSOR/A ASSOCIAT/ADA LABORAL,43,Home,N,N,144
7215E0588933B0E7DA373C866C6D5DCB,INVESTIGADOR PREDOCTORAL FORMACIÓ,34,Home,N,S,197
724F356CE25CBD1E8EBFF880889BBD34,PROFESSOR/A TITULAR D'UNIVERSITAT,51,Home,S,S,10059
725C4FC318AEB213E716BCF4E2B94C1D,PROFESSOR/A SUBSTITUT/A,53,Home,S,N,789
739CF9B9BF5D2E4AB7F226C0F12696DB,PROFESSOR/A LECTOR/A,43,Home,S,S,197
751E51BD087E74AA43B9EE0D7167F1AB,CATEDRATIC/A D'UNIVERSITAT,55,Home,S,S,11885
7568D1467F6D16A24668D92628FD7283,PROFESSOR/A SUBSTITUT/A,50,Dona,N,N,577
77A8272DF5826315A159EF3EB43AAB62,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,49,Home,S,S,8598
793AB67FC278F5DB1DF3235990934DE2,CATEDRATIC/A D'ESCOLES UNIVERSI,59,Home,S,S,13330
7A0ECF6B42F67191A6D11A27CC26A2DF,PROFESSOR/A TITULAR D'UNIVERSITAT,53,Home,S,S,9694
7AABE0F99D413F0AA5CA70299A2B888A,PROFESSOR/A TITULAR D'UNIVERSITAT,70,Home,S,S,17348
7CEA091A052DFBBA6D425134C9EE1E07,PROFESSOR/A ASSOCIAT/ADA LABORAL,54,Home,N,N,1293
7E4CD8798FBEF433FFB66813AAFD22BF,PROFESSOR/A SUBSTITUT/A,48,Home,S,N,7944
81B87839AD7EAED82C710B086B1A17FF,PROFESSOR/A TITULAR D'UNIVERSITAT,63,Home,S,S,8537
827536B047C7EB4378D007DFB5C8B811,PROFESSOR/A ASSOCIAT/ADA LABORAL,66,Home,N,N,6020
82BF128D2047056417807AFE22F00EA6,CATEDRATIC/A D'UNIVERSITAT,59,Home,S,S,13330
83123A2C1589A62C50704CE056D68905,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,41,Home,S,S,6020
83277085592785014B6F15381A3A1AA7,AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A,41,Home,S,S,5448
8388B57EF8CFD63F80ACFD05851C7C4F,PROFESSOR/A ASSOCIAT/ADA LABORAL,49,Home,N,N,121
859CB011A625D389E56C71153DEC9AC3,PROFESSOR/A SUBSTITUT/A,58,Dona,N,N,1477
