Curs acadèmic,Estudi,Id Anònim PD,Codi_Ass,Assignatura,Hores professor Totals
2024/25,Graduat en Enginyeria Informàtica,9350A3ED9834634A75E75CE346131524,102747,Sistemes Operatius,"319,24"
2024/25,Graduat en Enginyeria Informàtica,4EF71CA1BA5C9EE8365B0315956BACA9,102771,Electricitat i Electrònica,"233,58"
2024/25,Graduat en Enginyeria Informàtica,C52849557B69B4D05DD327B33BF4D840,102794,Integració Hardware/software,"31,36"
2024/25,Graduat en Enginyeria Informàtica,C52849557B69B4D05DD327B33BF4D840,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,975055552CE7ABB4C1A82D967434850E,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,CBF458E3B043D30C98CE4417D74E4320,102745,Legislació,"93,28"
2024/25,Graduat en Enginyeria Informàtica,28ED3995F95AF51F2A41460ED0BE12FC,102794,Integració Hardware/software,"19,6"
2024/25,Graduat en Enginyeria Informàtica,28ED3995F95AF51F2A41460ED0BE12FC,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,568E08A6C5B529E10017C974E52E29B7,102768,Intel·ligència Artificial,"81,35"
2024/25,Graduat en Enginyeria Informàtica,568E08A6C5B529E10017C974E52E29B7,106542,Treball de Final de Grau,"15,69"
2024/25,Graduat en Enginyeria Informàtica,F2EC213F782C9459FCD164000C85B98E,102741,Gestió i Administració de Bases de Dades,"66,48"
2024/25,Graduat en Enginyeria Informàtica,98994D47DE5D3AA44187CF9D1FC47265,102743,Enginyeria del Software,"30,25"
2024/25,Graduat en Enginyeria Informàtica,98994D47DE5D3AA44187CF9D1FC47265,102741,Gestió i Administració de Bases de Dades,"66,48"
2024/25,Graduat en Enginyeria Informàtica,EFE3D7C296941DDD31BAD2EFFBE4D7FF,102749,Tecnologies Avançades d'Internet,"52,55"
2024/25,Graduat en Enginyeria Informàtica,EFE3D7C296941DDD31BAD2EFFBE4D7FF,102746,Xarxes,"135,6"
2024/25,Graduat en Enginyeria Informàtica,4931B7BF8E3ADE7753988E44DE572F60,102786,"Coneixement, Raonament i Incertesa","105,12"
2024/25,Graduat en Enginyeria Informàtica,4931B7BF8E3ADE7753988E44DE572F60,102768,Intel·ligència Artificial,"86,69"
