PDI detall empleat;;;;;;
;;;;;;
Data de les dades: 23/03/2025;;;;;;
Mes: Març 2025;;;;;;
;;;;;;
Id Anonim PD;Categoria;Edat;Sexe;S/N Doctor;Dedicació Temps complet S/N;Antiguitat a la UAB (dies)
C9AB84B1D23B2F4DAC8CE7C8CFABEF12;PROFESSOR/A TITULAR D'UNIVERSITAT;56;Home;S;S;12251
D35803DDC71A4203C5B675B5D19A6B01;PROFESSOR/A LECTOR/A;52;Home;S;S;3346
D6FCE74EEB72447436FA204DC2522027;PROFESSOR/A ASSOCIAT/ADA LABORAL;27;Home;N;N;777
DF77A4D66D421F5E71B4DA756A9E396F;AGREGAT/ADA CONTRACTAT/ADA DOCTOR/A;56;Home;S;S;12235
E864D301F94D76ED6DC7C7BAC141907B;PROFESSOR/A TITULAR D'UNIVERSITAT;46;Dona;S;S;7868
EDF264AD8B0200D9E3FD3AC19ACBCCF2;PROFESSOR/A TITULAR D'UNIVERSITAT;41;Home;S;S;6756
F13EBA1CB1984F793950A9F33F51871C;PROFESSOR/A ASSOCIAT/ADA LABORAL;24;Dona;N;N;560
F9EBA0BE6E36513431CA90B76C8BC1B9;PERSONAL INVESTIGADOR POSTDOCTORAL PR;33;Home;N;S;789
FA09B8137D6C9EC0FFF71D7A1F7F8B2F;CATEDRATIC/A  D'UNIVERSITAT;58;Dona;S;S;12873
FFD65115D895DFF234EDCA029919FC4E;PROFESSOR/A ASSOCIAT/ADA LABORAL;52;Home;S;N;211
;;;;;;
OGD , Oficina de Govern de les Dades;;;;;;
