PDI docència detall;;;;;
;;;;;
Data de les dades: 02/03/2025;;;;;
;;;;;
Curs acadèmic;Estudi;Id Anònim PD;Codi_Ass;Assignatura;Hores professor Totals
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;274CFB17D77A1B23870A596077AA2C29;106570;Resolució de Problemes;79,29 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;55167E3D41E253A86C71866A62F39C72;106595;Reptes i Aplicacions de la IA I;25,39 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;55167E3D41E253A86C71866A62F39C72;106601;Treball de Final de Grau;45,60 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;16AEB5D063DDA0F5F77AD6238190AFFF;106595;Reptes i Aplicacions de la IA I;25,29 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;22A57620FF59692385931F92B65ACA2D;106592;Acceleració de la Computació en IA;78,93 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;2958E8969031D036C8108323F7E04E07;106598;Innovació Social;93,74 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;2958E8969031D036C8108323F7E04E07;106579;Interacció Social;76,75 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;39965AB303CCDBE167D2B768023A2653;106572;Fonaments d'Aprenentatge Automàtic;77,99 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;39965AB303CCDBE167D2B768023A2653;106573;Xarxes Neuronals i Aprenentatge Profund;48,36 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;77A8272DF5826315A159EF3EB43AAB62;106568;Seguretat i Privacitat de Dades;55,13 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;FA09B8137D6C9EC0FFF71D7A1F7F8B2F;106560;Regulació de la IA;83,56 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;41316BC1B959E8BF2131C09B6783CD77;106595;Reptes i Aplicacions de la IA I;25,39 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;0FC86FD5750C9F7A35477D4266AAB91B;106562;Gestió de Projectes;96,78 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;B5B9B849FC7D60C361BA33013821B7F9;106566;Gestió de Dades;157,18 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;B5B9B849FC7D60C361BA33013821B7F9;106556;Programació Distribuïda;82,49 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;B5B9B849FC7D60C361BA33013821B7F9;106594;Projecte de Síntesi II;35,04 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;5EEFC3C511DFCDF141D56678074B87A9;106577;Processos Cognitius;88,11 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;34A699C964A740FCA3E768F3C9CEB5EF;106567;Anàlisi de Grafs i Xarxes;101,53 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;34A699C964A740FCA3E768F3C9CEB5EF;106568;Seguretat i Privacitat de Dades;55,13 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;A6C5A93DB582ABDC98673562C1010B0E;106589;Robots Intel·ligents;131,41 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;D35803DDC71A4203C5B675B5D19A6B01;106601;Treball de Final de Grau;45,60 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;FFD65115D895DFF234EDCA029919FC4E;106587;Agents Autònoms;82,22 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;90BCD012646EAD3611B0EA0BE4AE5800;106584;Fonaments del Llenguatge Natural;30,62 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;90BCD012646EAD3611B0EA0BE4AE5800;106593;Projecte de Síntesi I;10,90 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;9E6CCE5D6ED7FCAF0FFB8D78F7E7E0B4;106564;Representació del Coneixement;94,06 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;49A065AE903286209F465D908144E9DD;106582;Visió i Aprenentatge;44,21 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;739CF9B9BF5D2E4AB7F226C0F12696DB;106554;Fonaments de Programació II;129,83 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;0BC6D43C6E4515E36D3A9BC18D199348;106555;Fonaments de Computació;30,93 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;0BC6D43C6E4515E36D3A9BC18D199348;106556;Programació Distribuïda;33,96 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;A20AC3D4BA832D0ACD492EBA555E7742;106581;Fonaments de la Visió per Computador;80,16 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;712E3A3E9F11E3145B54DFB6D6C2B6C7;106559;Ètica;54,33 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;712E3A3E9F11E3145B54DFB6D6C2B6C7;106579;Interacció Social;76,75 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;EDF264AD8B0200D9E3FD3AC19ACBCCF2;106565;Enginyeria de Dades;161,39 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;16266C6156A9FDA5BBD9EA9A566042BD;106598;Innovació Social;38,12 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;16266C6156A9FDA5BBD9EA9A566042BD;106589;Robots Intel·ligents;62,50 
2024/25;Graduat en Intel·ligència Artificial / Artificial Intelligence;7147CD677445A7111F50C3850F74413C;106590;Navegació Autònoma;45,54 
;;;;;
OGD , Oficina de Govern de les Dades;;;;;
