PDI amb trams vigents de doc�ncia i de recerca;;
;;
Data de les dades: 23/03/2025;;
Mes: Mar� 2025;;
;;
Id Anónim PD;Tram Docéncia/Recerca;S/N Tram Viu
77A8272DF5826315A159EF3EB43AAB62;Recerca;S
FA09B8137D6C9EC0FFF71D7A1F7F8B2F;Docéncia;N
FA09B8137D6C9EC0FFF71D7A1F7F8B2F;Recerca;N
FA09B8137D6C9EC0FFF71D7A1F7F8B2F;Recerca;S
41316BC1B959E8BF2131C09B6783CD77;Docéncia;S
41316BC1B959E8BF2131C09B6783CD77;Recerca;S
0FC86FD5750C9F7A35477D4266AAB91B;Docéncia;N
0FC86FD5750C9F7A35477D4266AAB91B;Recerca;N
0FC86FD5750C9F7A35477D4266AAB91B;Recerca;S
B5B9B849FC7D60C361BA33013821B7F9;Recerca;S
5EEFC3C511DFCDF141D56678074B87A9;Recerca;S
34A699C964A740FCA3E768F3C9CEB5EF;Recerca;N
34A699C964A740FCA3E768F3C9CEB5EF;Docéncia;S
34A699C964A740FCA3E768F3C9CEB5EF;Recerca;S
A6C5A93DB582ABDC98673562C1010B0E;Docéncia;N
A6C5A93DB582ABDC98673562C1010B0E;Recerca;N
A6C5A93DB582ABDC98673562C1010B0E;Recerca;S
90BCD012646EAD3611B0EA0BE4AE5800;Docéncia;N
90BCD012646EAD3611B0EA0BE4AE5800;Recerca;N
90BCD012646EAD3611B0EA0BE4AE5800;Docéncia;S
90BCD012646EAD3611B0EA0BE4AE5800;Recerca;S
49A065AE903286209F465D908144E9DD;Docéncia;N
49A065AE903286209F465D908144E9DD;Docéncia;S
49A065AE903286209F465D908144E9DD;Recerca;S
EDF264AD8B0200D9E3FD3AC19ACBCCF2;Docéncia;N
EDF264AD8B0200D9E3FD3AC19ACBCCF2;Recerca;N
EDF264AD8B0200D9E3FD3AC19ACBCCF2;Docéncia;S
EDF264AD8B0200D9E3FD3AC19ACBCCF2;Recerca;S
16266C6156A9FDA5BBD9EA9A566042BD;Docéncia;N
16266C6156A9FDA5BBD9EA9A566042BD;Recerca;N
;;
;;
